id,first_name,last_name,email,gender,ip_address,trade_id,stock_symbol,trade_date,trade_time,trade_price,trade_quantity,buyer_id,seller_id,trade_type,commission_fee
1,Taryn,Jindrak,tjindrak0@youtube.com,Female,170.79.254.8,1,AAPL,9/28/2021,3,636.99,401,1,1,buy,89.63
2,West,Grahl,wgrahl1@shinystat.com,Male,166.18.100.217,2,MSFT,9/13/2020,12,635.21,156,2,2,buy,39.16
3,Wright,Andrejs,wandrejs2@businessinsider.com,Male,95.136.172.78,3,MSFT,9/11/2021,21,748.71,310,3,3,buy,61.58
4,Tammy,Guiett,tguiett3@bing.com,Male,80.156.138.27,4,AMZN,2/11/2021,20,428.32,749,4,4,buy,6.61
5,Chrissie,Fetherstonhaugh,cfetherstonhaugh4@slashdot.org,Female,2.189.241.34,5,MSFT,3/6/2021,10,593.91,756,5,5,buy,8.34
6,Scot,Mustarde,smustarde5@bloglines.com,Male,251.95.42.195,6,MSFT,5/25/2020,5,759.16,626,6,6,sell,54.48
7,Lauren,Dupre,ldupre6@opensource.org,Female,160.81.124.125,7,AMZN,9/17/2021,4,208.07,651,7,7,buy,59.18
8,Licha,Hartell,lhartell7@cocolog-nifty.com,Female,104.92.201.250,8,FB,5/7/2020,5,314.97,623,8,8,sell,64.75
9,Aurie,Aldington,aaldington8@indiegogo.com,Female,221.210.205.117,9,AMZN,12/30/2020,18,874.11,626,9,9,sell,42.98
10,Tabbi,Dayce,tdayce9@buzzfeed.com,Female,131.26.32.26,10,AMZN,11/9/2021,1,872.92,949,10,10,buy,58.54
11,Minta,Whale,mwhalea@purevolume.com,Female,207.178.65.183,11,MSFT,11/9/2021,18,96.76,91,11,11,sell,77.68
12,Curtis,Benedetti,cbenedettib@yale.edu,Male,188.215.68.244,12,AMZN,6/7/2020,1,976.73,747,12,12,buy,66.22
13,Dorian,Furst,dfurstc@51.la,Male,58.164.148.78,13,MSFT,10/22/2021,13,750.7,27,13,13,sell,88.06
14,Marrissa,Roget,mrogetd@walmart.com,Female,216.43.250.184,14,GOOGL,5/5/2020,14,409.85,395,14,14,sell,55.63
15,Lyell,Treker,ltrekere@imageshack.us,Male,67.218.95.75,15,MSFT,10/29/2021,8,441.73,86,15,15,buy,30.15
16,Arlen,Llewelly,allewellyf@cam.ac.uk,Male,173.65.3.156,16,MSFT,5/24/2021,22,619.05,653,16,16,sell,28.9
